epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3838,1.02594,3.37031,1.45768,0.35602,0.47684,0.22045,0.15135,1.12465,3.71823,1.59289,0.0003636,0.0003636,0.0003636
2,176.247,0.98978,2.44761,1.42282,0.27941,0.59404,0.38725,0.25659,1.09824,2.89821,1.54076,0.000719401,0.000719401,0.000719401
3,265.926,1.02064,1.90465,1.40932,0.63654,0.56227,0.64076,0.4331,1.12906,2.08585,1.56046,0.00106054,0.00106054,0.00106054
4,363.146,1.02827,1.59,1.42012,0.69768,0.59633,0.70599,0.45029,1.20287,1.76801,1.62639,0.00104501,0.00104501,0.00104501
5,476.651,0.9794,1.43458,1.36828,0.72793,0.67079,0.74282,0.52837,1.08298,1.53975,1.5396,0.00102301,0.00102301,0.00102301
6,601.653,0.96865,1.2794,1.35351,0.61024,0.50353,0.50505,0.33096,1.14454,1.73903,1.56321,0.00100101,0.00100101,0.00100101
7,715.283,0.9466,1.20955,1.33086,0.82155,0.70288,0.75731,0.52119,1.05345,1.23657,1.45601,0.000979013,0.000979013,0.000979013
8,822.405,0.95817,1.15567,1.34743,0.79215,0.76049,0.80473,0.55184,1.01438,1.25056,1.4097,0.000957015,0.000957015,0.000957015
9,918.171,0.92529,1.09031,1.32933,0.77378,0.79731,0.82367,0.5881,0.98763,1.11592,1.41032,0.000935018,0.000935018,0.000935018
10,1012.84,0.92308,1.06022,1.32252,0.83597,0.75853,0.84137,0.59138,1.00809,1.05291,1.41321,0.00091302,0.00091302,0.00091302
11,1097.47,0.9298,1.07077,1.32731,0.80541,0.74884,0.833,0.57993,1.00198,1.15076,1.39721,0.000891022,0.000891022,0.000891022
12,1177.95,0.9027,0.99967,1.30247,0.84059,0.75571,0.83563,0.58942,1.00901,0.95092,1.42804,0.000869024,0.000869024,0.000869024
13,1258.57,0.90202,0.96189,1.31182,0.87035,0.82186,0.87463,0.62199,0.9762,0.90132,1.38685,0.000847026,0.000847026,0.000847026
14,1339.99,0.89627,0.93935,1.31803,0.77691,0.76136,0.82587,0.58072,1.02354,1.03646,1.41373,0.000825029,0.000825029,0.000825029
15,1418.48,0.88682,0.90115,1.30228,0.87287,0.74616,0.83722,0.58966,1.00791,0.90452,1.39887,0.000803031,0.000803031,0.000803031
16,1496.06,0.87013,0.86806,1.2912,0.86227,0.76832,0.8552,0.61888,0.96076,0.88086,1.36033,0.000781033,0.000781033,0.000781033
17,1579.74,0.86543,0.87053,1.27634,0.85124,0.77668,0.86842,0.61547,0.95403,0.92371,1.3649,0.000759035,0.000759035,0.000759035
18,1661.71,0.85741,0.88751,1.28217,0.85075,0.80548,0.87838,0.62311,1.00404,0.85244,1.39833,0.000737037,0.000737037,0.000737037
19,1741.03,0.83231,0.84017,1.26867,0.81649,0.81316,0.85725,0.61961,0.96831,0.90008,1.35816,0.00071504,0.00071504,0.00071504
20,1821.87,0.85219,0.85313,1.26397,0.84447,0.834,0.87953,0.6327,0.97546,0.80868,1.3639,0.000693042,0.000693042,0.000693042
21,1907.87,0.82728,0.78838,1.2475,0.88077,0.83224,0.88937,0.62819,0.97016,0.78718,1.36085,0.000671044,0.000671044,0.000671044
22,1997.05,0.85336,0.81666,1.27532,0.88614,0.79899,0.86375,0.63326,0.93295,0.83469,1.34823,0.000649046,0.000649046,0.000649046
23,2089.29,0.82594,0.78066,1.24242,0.86074,0.8151,0.84984,0.61566,0.99815,0.81579,1.41328,0.000627048,0.000627048,0.000627048
24,2178.57,0.82154,0.77103,1.2319,0.82861,0.79324,0.84098,0.60761,0.95327,0.96935,1.36593,0.000605051,0.000605051,0.000605051
25,2263.71,0.81506,0.75132,1.24444,0.86611,0.82996,0.87148,0.64899,0.91787,0.78844,1.32504,0.000583053,0.000583053,0.000583053
26,2346.34,0.82229,0.74517,1.24611,0.90125,0.85636,0.90104,0.6534,0.94242,0.70291,1.33668,0.000561055,0.000561055,0.000561055
27,2429.21,0.81293,0.7483,1.25115,0.92712,0.80744,0.90192,0.66306,0.91922,0.72739,1.33208,0.000539057,0.000539057,0.000539057
28,2512.92,0.78706,0.70432,1.21724,0.89656,0.82126,0.87459,0.65311,0.90215,0.7537,1.29981,0.000517059,0.000517059,0.000517059
29,2596.45,0.76407,0.69907,1.21504,0.88572,0.86046,0.89138,0.65994,0.9186,0.70843,1.32369,0.000495062,0.000495062,0.000495062
30,2680.91,0.78765,0.70668,1.22672,0.93444,0.83224,0.88987,0.66599,0.87358,0.68436,1.28502,0.000473064,0.000473064,0.000473064
31,2764.65,0.78922,0.69114,1.21824,0.94149,0.8162,0.87973,0.64921,0.92376,0.75401,1.33105,0.000451066,0.000451066,0.000451066
